MonthNumeric,MonthFactor,Year,WranglerSales,Unemployment,WranglerQueries,CPI.All,CPI.Energy
1,January,2010,4888,9.8,30,217.488,212.807
2,February,2010,5967,9.8,32,217.281,209.624
3,March,2010,8410,9.9,33,217.353,209.326
4,April,2010,8327,9.9,34,217.403,209.219
5,May,2010,9634,9.6,36,217.29,206.631
6,June,2010,8923,9.4,37,217.199,203.764
7,July,2010,10043,9.4,39,217.605,206.877
8,August,2010,7666,9.5,38,217.923,208.77
9,September,2010,7765,9.5,35,218.275,209.832
10,October,2010,7908,9.4,32,219.035,216.71
11,November,2010,6552,9.8,37,219.59,219.496
12,December,2010,8227,9.3,33,220.472,227.13
1,January,2011,6444,9.1,39,221.187,229.258
2,February,2011,7636,9,40,221.898,232.068
3,March,2011,8807,9,40,223.046,240.079
4,April,2011,9051,9.1,41,224.093,247.977
5,May,2011,10008,9,42,224.806,250.744
6,June,2011,11290,9.1,46,224.806,245.534
7,July,2011,14355,9,49,225.395,246.187
8,August,2011,12949,9,49,226.106,246.88
9,September,2011,11388,9,46,226.597,248.55
10,October,2011,9892,8.8,41,226.75,246.655
11,November,2011,9225,8.6,43,227.169,247.64
12,December,2011,11415,8.5,41,227.223,243.353
1,January,2012,7896,8.3,44,227.842,244.876
2,February,2012,18638,8.3,45,228.329,248.898
3,March,2012,12557,8.2,48,228.807,249.742
4,April,2012,12184,8.2,49,229.187,249.677
5,May,2012,15454,8.2,53,228.713,241.806
6,June,2012,14461,8.2,56,228.524,235.897
7,July,2012,12216,8.2,57,228.59,233.568
8,August,2012,13293,8.1,53,229.918,244.987
9,September,2012,12097,7.8,50,231.015,252.987
10,October,2012,11310,7.8,42,231.638,256.017
11,November,2012,10337,7.7,42,231.249,248.819
12,December,2012,11545,7.9,43,231.221,244.708
1,January,2013,8854,8,44,231.679,245.025
2,February,2013,10091,7.7,47,232.937,255.696
3,March,2013,12901,7.5,51,232.282,246.595
4,April,2013,13445,7.6,52,231.797,240.473
5,May,2013,16272,7.5,56,231.893,240.468
6,June,2013,16165,7.5,62,232.445,242.711
7,July,2013,14404,7.3,62,232.9,242.986
8,August,2013,15825,7.3,59,233.456,244.833
9,September,2013,11984,7.2,53,233.544,242.745
10,October,2013,11780,7.2,48,233.669,241.954
11,November,2013,11753,6.9,48,234.1,242.718
12,December,2013,12028,6.7,46,234.719,245.733
1,January,2014,9553,6.6,51,235.347,250.798
2,February,2014,10640,6.7,57,235.522,249.905
3,March,2014,14481,6.7,60,235.956,249.338
4,April,2014,15389,6.2,62,236.463,249.875
5,May,2014,19235,6.3,68,236.867,248.642
6,June,2014,16439,6.1,69,237.188,249.326
7,July,2014,16388,6.2,70,237.485,248.289
8,August,2014,17988,6.2,67,237.439,245.372
9,September,2014,13955,5.9,61,237.452,241.32
10,October,2014,13665,5.7,56,237.447,237.184
11,November,2014,13592,5.8,54,237.042,230.002
12,December,2014,14003,5.6,54,236.27,218.779
1,January,2015,11683,5.7,58,234.836,200.596
2,February,2015,12911,5.5,61,235.274,202.644
3,March,2015,17524,5.4,67,235.956,205.63
4,April,2015,18849,5.4,68,236.165,202.958
5,May,2015,22324,5.5,75,236.952,208.846
6,June,2015,19159,5.3,80,237.618,211.708
7,July,2015,19320,5.2,84,237.993,211.332
8,August,2015,18160,5.1,83,237.989,208.365
9,September,2015,17583,5,74,237.467,196.978
10,October,2015,15751,5,67,237.764,195.974
11,November,2015,13847,5,64,238.072,195.454
12,December,2015,15591,5,60,237.827,190.54
1,January,2016,10797,4.9,72,237.99,187.621
2,February,2016,13234,4.9,77,237.532,177.175
3,March,2016,17710,5,78,238.022,180.843
4,April,2016,19003,5,81,238.843,185.51
5,May,2016,19551,4.7,86,239.439,188.118
6,June,2016,20060,4.9,91,240.074,191.91
7,July,2016,18741,4.9,89,240.058,188.597
8,August,2016,15290,4.9,84,240.569,189.183
9,September,2016,14255,4.9,78,241.017,191.547
10,October,2016,14469,4.8,72,241.667,195.923
11,November,2016,12957,4.6,68,242.081,196.803
12,December,2016,15721,4.7,70,242.784,200.636
1,January,2017,11334,4.8,72,244.028,208.507
2,February,2017,13641,4.7,78,244.102,204.663
3,March,2017,16336,4.5,81,243.717,200.985
4,April,2017,18841,4.4,86,244.087,202.662
5,May,2017,19931,4.3,85,243.911,198.157
6,June,2017,18839,4.3,91,244.032,196.462
7,July,2017,18698,4.3,95,244.236,195.041
8,August,2017,16808,4.4,87,245.262,201.552
9,September,2017,15714,4.2,78,246.392,211.097
10,October,2017,13391,4.1,74,246.583,208.236
11,November,2017,13289,4.1,82,247.411,214.879
12,December,2017,13700,4.1,78,247.91,214.503
1,January,2018,11739,4.1,75,249.245,220.903
2,February,2018,15936,4.1,81,249.619,221.104
3,March,2018,27829,4.1,84,249.462,215.022
4,April,2018,29776,3.9,88,250.013,218.05
5,May,2018,25102,3.8,94,250.535,220.006
6,June,2018,23110,4,97,250.857,219.372
7,July,2018,21308,3.9,100,251.286,218.271
8,August,2018,20168,3.8,89,251.846,222.368
9,September,2018,15983,3.7,80,251.994,221.334
10,October,2018,13318,3.8,75,252.827,226.644
11,November,2018,15963,3.7,72,252.876,221.712
12,December,2018,19800,3.9,75,252.733,214.049